variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	7.94571583797468	32259	0.0573807766656913	29.9831388318026	9624	141	0
ASV_10	10.8874526683544	19643	0.0249306714958056	13.3746714359701	8616	0	0
ASV_100	15.0612262481013	10889	0.00934938939218311	5.54218495150135	6647	0	0
ASV_1000	NA	0	0	0	0	0	1
ASV_1001	23.439305043038	422	0.000258481685875685	1.08114034694159	418	0	1
ASV_1002	24.1486618531646	53	-3.41424017186297e-06	0.0138745058696531	53	0	1
ASV_1003	24.1253258936709	87	0	0.0100722528107014	87	0	1
ASV_1004	NA	0	0	0	0	0	1
ASV_1005	24.0050518886076	211	-4.69973179943005e-06	0.0323372618619056	209	0	1
ASV_1006	NA	0	0	0	0	0	1
ASV_1007	24.119731078481	80	2.28028472304523e-08	0.00320243336925419	79	0	1
ASV_1008	24.1965610734177	21	0	0.00179228452350667	21	0	1
ASV_1009	NA	0	0	0	0	0	1
ASV_101	16.6776138227848	7104	0.00409722069761545	2.82952348316387	5090	0	0
ASV_1010	23.8118548658228	267	5.278212117889e-05	0.45464938389844	263	0	1
ASV_1011	NA	0	0	0	0	0	1
ASV_1013	NA	0	0	0	0	0	1
ASV_1014	23.7650998481013	388	3.46329480941501e-05	0.165019133411826	385	0	1
ASV_1015	24.0642208101266	130	1.40005122087876e-06	0.0368068301828966	130	0	1
ASV_1016	NA	0	0	0	0	0	1
ASV_1017	24.0950408708861	103	1.8116989883971e-06	0.00890053810940397	101	0	1
ASV_1018	24.0969432405063	70	-6.43845095633733e-05	0.138340225480393	70	0	1
ASV_1019	23.7304961316456	343	8.35131314742653e-06	0.184889302564	338	0	1
ASV_102	23.9798079898734	225	3.49034928878634e-06	0.0281225236723547	224	0	1
ASV_1020	NA	0	0	0	0	0	1
ASV_1021	24.1100347544304	87	5.1217343263155e-07	0.00865671688154131	87	0	1
ASV_1022	NA	0	0	0	0	0	1
ASV_1023	NA	0	0	0	0	0	1
ASV_1024	23.8488663088608	345	-1.60530144117053e-06	0.125183219837953	343	0	1
ASV_1025	23.1639673822785	571	0.00024736894496765	1.12324575666059	564	0	1
ASV_1026	23.9123246177215	171	0.000129475696111989	0.877021116782745	171	0	1
ASV_1027	NA	0	0	0	0	0	1
ASV_1028	22.5484296	994	0.00260657889023246	2.8821943943555	968	0	1
ASV_1029	24.1961655797468	16	0	0.00178274419121537	16	0	1
ASV_103	14.4697592303797	10470	0.00440334814345485	6.04589850303096	6559	0	0
ASV_1030	24.1352564860759	73	-3.88617127620069e-06	0.00583836307040778	73	0	1
ASV_1031	23.9967390075949	183	1.53883416140303e-05	0.0223226242378115	182	0	1
ASV_1032	NA	0	0	0	0	0	1
ASV_1033	NA	0	0	0	0	0	1
ASV_1034	24.134060435443	63	-3.42612398432631e-06	0.0251963630340836	63	0	1
ASV_1035	NA	0	0	0	0	0	1
ASV_1036	23.6082945620253	491	6.18682344490597e-06	0.0704418212617936	483	0	1
ASV_1037	24.0978828556962	87	-8.87204482370949e-06	0.0221756208399407	87	0	1
ASV_1038	NA	0	0	0	0	0	1
ASV_1039	23.9751401924051	231	3.48601689855853e-06	0.0112551915858559	229	0	1
ASV_104	10.5336688708861	22306	0.0173238321471204	11.7029608887388	8966	3	0
ASV_1040	NA	0	0	0	0	0	1
ASV_1041	NA	0	0	0	0	0	1
ASV_1042	23.5330757367089	526	-4.51980980265861e-05	0.102697171217808	514	0	1
ASV_1044	23.3164087797468	689	6.77012125212247e-05	0.219785324441763	672	0	1
ASV_1045	24.0059516556962	144	-1.47364622688345e-05	0.0624657874327689	141	0	1
ASV_1046	NA	0	0	0	0	0	1
ASV_1047	23.8622005772152	212	-3.42823214962766e-05	0.204671166005943	212	0	1
ASV_1048	23.3655262177215	671	0.000245750207287676	0.186087849562521	649	0	1
ASV_1049	NA	0	0	0	0	0	1
ASV_105	17.5338086177215	6429	6.80880843427669e-06	7.99462158057826	4766	0	0
ASV_1050	21.808114643038	1322	0.00741272983427867	6.8859112286527	1286	0	1
ASV_1051	NA	0	0	0	0	0	1
ASV_1052	24.1238990886076	60	0	0.0481868920574073	60	0	1
ASV_1053	24.036382278481	127	-2.16204941739839e-05	0.0642595238054764	125	0	1
ASV_1054	NA	0	0	0	0	0	1
ASV_1055	23.8295894683544	236	-2.61897362738489e-05	0.668078568640459	235	0	1
ASV_1056	24.1709277367089	49	9.46620467144738e-07	0.00399530243240871	49	0	1
ASV_1057	NA	0	0	0	0	0	1
ASV_1058	19.4803847189873	2294	0.0155452746935011	15.1272768232983	2256	0	7.56522550992958e-08
ASV_1059	24.0774332151899	105	-2.11104220932632e-06	0.0167720572850068	105	0	1
ASV_106	9.76345134177215	18463	0.0832521055185508	41.3320256247999	8495	0	0
ASV_1060	NA	0	0	0	0	0	1
ASV_1061	23.6598861164557	292	0.000437802997098561	1.22137221433329	289	0	1
ASV_1062	24.1465226734177	49	0	0.0252508857516453	49	0	1
ASV_1063	NA	0	0	0	0	0	1
ASV_1064	24.0317804962025	160	5.57381383738669e-06	0.0391098851877911	159	0	1
ASV_1065	24.0694553822785	105	3.12713664972111e-06	0.0708613448833249	104	0	1
ASV_1066	24.1976306632911	23	0	0.00110964789343797	23	0	1
ASV_1067	24.0757086683544	96	-1.85118676371948e-05	0.0790156098387117	96	0	1
ASV_1068	23.276101356962	500	0.000844448587650159	1.44057342129568	494	0	1
ASV_1069	NA	0	0	0	0	0	1
ASV_107	12.5436477670886	11561	0.0293701161783075	15.3043437490584	7022	0	0
ASV_1070	24.0011760506329	160	-8.90599748129443e-06	0.0915565356239833	160	0	1
ASV_1071	24.1533483037975	71	1.20137904154684e-06	0.0121268478152445	70	0	1
ASV_1072	23.1689042126582	560	0.00143769065784204	1.81982401181202	556	0	1
ASV_1073	NA	0	0	0	0	0	1
ASV_1074	23.9082543594937	214	-0.000265801306635324	0.275107447248571	213	0	1
ASV_1075	24.1725988658228	33	-1.33424144529552e-06	0.00999011630353687	33	0	1
ASV_1076	22.9749822177215	641	0.00136348711334615	2.71065196237624	629	0	1
ASV_1077	23.8573232202532	264	-2.91319633208178e-05	0.216095261988624	263	0	1
ASV_1078	NA	0	0	0	0	0	1
ASV_1079	NA	0	0	0	0	0	1
ASV_108	19.0932579949367	4995	7.02213472915231e-05	1.62804412109346	3932	0	0
ASV_1080	NA	0	0	0	0	0	1
ASV_1081	23.7030757468354	311	-0.000116105906286677	0.23861580802785	305	0	1
ASV_1082	23.352488121519	684	-2.35886237031423e-06	0.153087643702716	657	0	1
ASV_1083	NA	0	0	0	0	0	1
ASV_1084	24.1957066126582	23	1.84792526113566e-07	0.000916213858666382	23	0	1
ASV_1085	NA	0	0	0	0	0	1
ASV_1086	NA	0	0	0	0	0	1
ASV_1087	22.6177861468354	1083	-0.000433185855323451	0.668941123893798	1037	0	1
ASV_1088	24.1827350177215	28	0	0.00448942830821936	28	0	1
ASV_1089	24.1321237873418	59	3.91419356574114e-06	0.0457335687657094	59	0	1
ASV_109	14.4933513620253	11858	0.0034318423654105	5.42863190580482	6952	0	0
ASV_1090	23.9446813468354	229	1.95551043942301e-05	0.0851075414264522	228	0	1
ASV_1091	23.1699608303798	807	7.76484613516823e-05	0.289753759026796	787	0	1
ASV_1092	23.8747026632911	289	2.37349012199138e-05	0.118809339090632	283	0	1
ASV_1093	NA	0	0	0	0	0	1
ASV_1095	24.2017825620253	23	0	0.000122202581852427	23	0	1
ASV_1096	24.1166140050633	78	2.67854590419126e-06	0.0209655675740755	78	0	1
ASV_1097	24.167370835443	45	0	0.00498746394297241	45	0	1
ASV_1098	24.0806450126582	121	-1.08357243721849e-06	0.00960361726687369	120	0	1
ASV_1099	24.1473579949367	57	0	0.0231902391249546	57	0	1
ASV_11	12.0766174886076	17197	0.00937429140400231	7.49829124668932	8182	1	0
ASV_110	11.8096789468354	18737	0.00283533419073052	6.62722780924139	8511	0	0
ASV_1101	23.9517951493671	239	6.21018860025578e-07	0.0315765954752396	236	0	1
ASV_1102	NA	0	0	0	0	0	1
ASV_1103	NA	0	0	0	0	0	1
ASV_1104	23.2643233822785	686	-0.000374789883474641	0.34796965163338	669	0	1
ASV_1105	24.1515098936709	57	-7.99867932924309e-06	0.00970713474145517	57	0	1
ASV_1106	NA	0	0	0	0	0	1
ASV_1107	NA	0	0	0	0	0	1
ASV_1108	24.0905786329114	115	1.45532191364872e-06	0.0170363414145993	115	0	1
ASV_1109	23.8162148658228	322	-2.57422465836012e-05	0.0533047845439981	313	0	1
ASV_111	24.041072243038	119	8.06382662184493e-06	0.0185343999774904	119	0	1
ASV_1110	24.0862372860759	87	1.21947051622107e-05	0.0736165629673517	87	0	1
ASV_1111	24.0781959797468	98	-1.04226617500863e-05	0.0582557072382091	98	0	1
ASV_1112	NA	0	0	0	0	0	1
ASV_1113	22.5447220151899	896	-2.45118092708784e-05	3.22940291879341	884	0	1
ASV_1114	24.1558708658228	43	0	0.011178196294596	43	0	1
ASV_1115	22.2106819139241	1038	0.00285182101945231	4.44120735684297	1024	0	1
ASV_1116	24.1336614278481	82	-3.21867345575681e-07	0.00355254988184037	81	0	1
ASV_1117	24.0771924050633	125	-2.38319398553776e-07	0.0111185689055047	125	0	1
ASV_1118	24.0823917265823	129	-2.6734991330715e-06	0.0137496665338985	128	0	1
ASV_1119	24.1608328911392	43	0	0.00186094498240328	43	0	1
ASV_112	10.707360243038	19724	0.0584797367875639	21.174265473104	8659	0	0
ASV_1120	24.1564341265823	45	3.01573266047973e-06	0.0383145011645286	45	0	1
ASV_1121	NA	0	0	0	0	0	1
ASV_1122	24.1969187746835	14	0	0.00792131418816715	14	0	1
ASV_1123	NA	0	0	0	0	0	1
ASV_1124	24.1937256303797	21	0	0.0048895837422896	21	0	1
ASV_1125	23.8287179240506	323	-6.35382731661881e-07	0.0271757754375141	320	0	1
ASV_1126	24.1131775088608	64	3.14954004735622e-06	0.0938771217189527	64	0	1
ASV_1127	NA	0	0	0	0	0	1
