"X.ASV_A"	"ASV_B"	"Interaction"	"Type"
"ASV_5"	"ASV_6"	0.187708877792998	1
"ASV_3"	"ASV_7"	0.1432327087221	1
"ASV_1"	"ASV_9"	0.229711770740179	1
"ASV_3"	"ASV_11"	0.15977793624863	1
"ASV_1"	"ASV_14"	0.187187289896311	1
"ASV_8"	"ASV_14"	-0.165284129860201	3
"ASV_3"	"ASV_15"	0.151904106140137	1
"ASV_11"	"ASV_15"	0.229065909699539	1
"ASV_8"	"ASV_16"	-0.132859502934648	3
"ASV_4"	"ASV_17"	0.143454850176472	1
"ASV_16"	"ASV_18"	0.220589906587372	1
"ASV_6"	"ASV_19"	0.265931740652405	1
"ASV_9"	"ASV_19"	0.163093361386973	1
"ASV_3"	"ASV_25"	0.149323430142193	1
"ASV_5"	"ASV_25"	0.138919234492294	1
"ASV_19"	"ASV_25"	0.16413478359011	1
"ASV_2"	"ASV_26"	0.212004145663312	1
"ASV_6"	"ASV_26"	0.13306716004982	1
"ASV_14"	"ASV_26"	0.186482016829249	1
"ASV_25"	"ASV_26"	0.155279201393276	1
"ASV_23"	"ASV_29"	0.351460630417453	1
"ASV_26"	"ASV_29"	-0.187069070136711	3
"ASV_8"	"ASV_30"	0.819105427255063	1
"ASV_11"	"ASV_31"	0.168073601911636	1
"ASV_13"	"ASV_33"	0.730958191743855	1
"ASV_16"	"ASV_34"	0.191358581185341	1
"ASV_24"	"ASV_34"	0.386754511921208	1
"ASV_31"	"ASV_34"	0.236772181008152	1
"ASV_32"	"ASV_34"	0.374157160520554	1
"ASV_14"	"ASV_37"	0.194329000639778	1
"ASV_26"	"ASV_37"	0.303749012454078	1
"ASV_3"	"ASV_39"	-0.688519044121978	3
"ASV_31"	"ASV_40"	0.328646927504487	1
"ASV_1"	"ASV_41"	0.188058122408471	1
"ASV_7"	"ASV_41"	0.194788053631783	1
"ASV_18"	"ASV_41"	0.218917633090617	1
"ASV_25"	"ASV_41"	0.426220129498433	1
"ASV_6"	"ASV_43"	0.157471630119009	1
"ASV_40"	"ASV_43"	0.214345328568336	1
"ASV_26"	"ASV_45"	0.167981043727066	1
"ASV_29"	"ASV_45"	-0.173492240231966	3
"ASV_5"	"ASV_46"	0.395126669020892	1
"ASV_22"	"ASV_46"	0.32265904545784	1
"ASV_10"	"ASV_52"	0.422394354693928	1
"ASV_8"	"ASV_54"	0.161397872459478	1
"ASV_29"	"ASV_54"	0.369593381648223	1
"ASV_43"	"ASV_54"	-0.197123377180209	3
"ASV_29"	"ASV_56"	0.309260487311081	1
"ASV_8"	"ASV_57"	0.596086150806065	1
